Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
621,2290,,unset,ELBO,=67132086/1285,0,0,200mm,219.1,0.000,0,305.000,0,174mm,0.000,,0.000,,181425.000mm,158448.200mm,100927.800mm,Unset,,,0,,0,,,,,,
622,,,unset,ELBO,=67132086/1285,2,2,200mm,219.1,0.000,0,305.000,0,174mm,0.000,,0.000,,181425.000mm,158143.200mm,100927.800mm,Unset,,,0,,0,,,,,,
623,2300,PS-171056.2,PS-171056.2,ATTA,=67132086/1286,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,157968.400mm,100927.800mm,Unset,,,0,,0,,,,,,
624,2310,PS-171056.4,PS-171056.4,ATTA,=67132086/1287,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,157968.400mm,100927.800mm,Unset,,,0,,0,,,,,,
625,,,unset,OLET,=67132086/1288,1,1,200mm,219.1,0.000,0,0.000,0,699mm,0.000,,0.000,,181425.000mm,157968.400mm,100927.800mm,=67132086/1327,,,0,,0,,,,,,
626,,,unset,OLET,=67132086/1288,3,3,50mm,219.1,0.000,0,0.000,0,699mm,0.000,,0.000,,181425.000mm,157968.400mm,101075.450mm,=67132086/1327,,,0,,0,,,,,,
627,2320,,unset,OLET,=67132086/1288,0,0,200mm,219.1,0.000,0,0.000,0,699mm,0.000,,0.000,,181425.000mm,157968.400mm,100927.800mm,=67132086/1327,,,0,,0,,,,,,
628,,,unset,OLET,=67132086/1288,2,2,200mm,219.1,0.000,0,0.000,0,699mm,0.000,,0.000,,181425.000mm,157968.400mm,100927.800mm,=67132086/1327,,,0,,0,,,,,,
629,,,unset,OLET,=67132086/1289,1,1,200mm,219.1,0.000,0,0.000,0,600mm,0.000,,0.000,,181425.000mm,157268.400mm,100927.800mm,=67132086/1307,,,0,,0,,,,,,
630,,,unset,OLET,=67132086/1289,3,3,50mm,219.1,0.000,0,0.000,0,600mm,0.000,,0.000,,181425.000mm,157268.400mm,101075.450mm,=67132086/1307,,,0,,0,,,,,,
631,2330,,unset,OLET,=67132086/1289,0,0,200mm,219.1,0.000,0,0.000,0,600mm,0.000,,0.000,,181425.000mm,157268.400mm,100927.800mm,=67132086/1307,,,0,,0,,,,,,
632,,,unset,OLET,=67132086/1289,2,2,200mm,219.1,0.000,0,0.000,0,600mm,0.000,,0.000,,181425.000mm,157268.400mm,100927.800mm,=67132086/1307,,,0,,0,,,,,,
633,,,unset,OLET,=67132086/1290,1,1,200mm,219.1,0.000,0,0.000,0,585mm,0.000,,0.000,,181425.000mm,156668.400mm,100927.800mm,=67132086/1317,,,0,,0,,,,,,
634,,,unset,OLET,=67132086/1290,3,3,50mm,219.1,0.000,0,0.000,0,585mm,0.000,,0.000,,181425.000mm,156668.400mm,101075.450mm,=67132086/1317,,,0,,0,,,,,,
635,2340,,unset,OLET,=67132086/1290,0,0,200mm,219.1,0.000,0,0.000,0,585mm,0.000,,0.000,,181425.000mm,156668.400mm,100927.800mm,=67132086/1317,,,0,,0,,,,,,
636,,,unset,OLET,=67132086/1290,2,2,200mm,219.1,0.000,0,0.000,0,585mm,0.000,,0.000,,181425.000mm,156668.400mm,100927.800mm,=67132086/1317,,,0,,0,,,,,,
637,,,unset,OLET,=67132086/1291,1,1,200mm,219.1,0.000,0,0.000,0,200mm,0.000,,0.000,,181425.000mm,156083.000mm,100927.800mm,=67132086/1337,,,0,,0,,,,,,
638,,,unset,OLET,=67132086/1291,3,3,50mm,219.1,0.000,0,0.000,0,200mm,0.000,,0.000,,181425.000mm,156083.000mm,101075.450mm,=67132086/1337,,,0,,0,,,,,,
639,2350,,unset,OLET,=67132086/1291,0,0,200mm,219.1,0.000,0,0.000,0,200mm,0.000,,0.000,,181425.000mm,156083.000mm,100927.800mm,=67132086/1337,,,0,,0,,,,,,
640,,,unset,OLET,=67132086/1291,2,2,200mm,219.1,0.000,0,0.000,0,200mm,0.000,,0.000,,181425.000mm,156083.000mm,100927.800mm,=67132086/1337,,,0,,0,,,,,,
641,2360,PS-171059.2,PS-171059.2,ATTA,=67132086/1292,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,155883.000mm,100927.800mm,Unset,,,0,,0,,,,,,
642,2370,PS-171059.13,PS-171059.13,ATTA,=67132086/1293,0,0,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,,181425.000mm,155883.000mm,100927.800mm,Unset,,,0,,0,,,,,,
643,2380,PS-171059.9,PS-171059.9,ATTA,=67132086/1294,0,0,200mm,219.1,0.000,0,0.000,0,364mm,0.000,,0.000,,181425.000mm,155883.000mm,100927.800mm,Unset,,,0,,0,,,,,,
644,2390,17-VBL-20013,unset,FLAN,=67132086/1295,1,2,200mm,219.1,0.000,0,0.000,0,0mm,0.000,,0.000,START,181425.000mm,155658.200mm,100927.798mm,Unset,,,0,,0,,,,,,
