Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
812,,,unset,FLAN,=67132086/465,1,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174726.385mm,157458.200mm,101245.950mm,Unset,,,0,,0,,,,,,
813,,,unset,FLAN,=67132086/465,2,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174835.384mm,157458.200mm,101245.405mm,Unset,,,0,,0,,,,,,
814,,,unset,GASK,=67132086/466,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174835.384mm,157458.200mm,101245.405mm,Unset,,,0,,0,,,,,,
815,,,unset,GASK,=67132086/466,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174838.583mm,157458.200mm,101245.389mm,Unset,,,0,,0,,,,,,
816,,,unset,PCOM,=67132086/467,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174838.583mm,157458.200mm,101245.389mm,Unset,,,0,,0,,,,,,
817,,,unset,PCOM,=67132086/467,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174854.283mm,157458.200mm,101245.310mm,Unset,,,0,,0,,,,,,
818,,,unset,GASK,=67132086/468,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174854.283mm,157458.200mm,101245.310mm,Unset,,,0,,0,,,,,,
819,,,unset,GASK,=67132086/468,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,174857.483mm,157458.200mm,101245.294mm,Unset,,,0,,0,,,,,,
820,,,unset,FLAN,=67132086/469,1,1,100mm,114.3,0.000,0,0.000,0,323mm,0.000,,0.000,,174857.483mm,157458.200mm,101245.294mm,Unset,,,0,,0,,,,,,
821,2900,,unset,FLAN,=67132086/469,2,2,100mm,114.3,0.000,0,0.000,0,323mm,0.000,,0.000,,174966.482mm,157458.200mm,101244.749mm,Unset,,,0,,0,,,,,,
822,2910,PS-171043.1,PS-171043.1,ATTA,=67132086/470,0,0,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175290.316mm,157458.200mm,101243.130mm,Unset,,,0,,0,,,,,,
823,2920,PS-171043.3,PS-171043.3,ATTA,=67132086/471,0,0,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175290.316mm,157458.200mm,101243.130mm,Unset,,,0,,0,,,,,,
824,2930,PS-171043.2,PS-171043.2,ATTA,=67132086/472,0,0,100mm,114.3,0.000,0,0.000,0,249mm,0.000,,0.000,,175290.316mm,157458.200mm,101243.130mm,Unset,,,0,,0,,,,,,
825,,,unset,OLET,=67132086/473,1,1,100mm,114.3,0.000,0,0.000,0,149mm,0.000,,0.000,,175540.303mm,157458.200mm,101241.880mm,=67132086/453,,,0,,0,,,,,,
826,,,unset,OLET,=67132086/473,3,3,25mm,114.3,0.000,0,0.000,0,149mm,0.000,,0.000,,175541.338mm,157458.200mm,101449.027mm,=67132086/453,,,0,,0,,,,,,
827,2940,,unset,OLET,=67132086/473,0,0,100mm,114.3,0.000,0,0.000,0,149mm,0.000,,0.000,,175540.303mm,157458.200mm,101241.880mm,=67132086/453,,,0,,0,,,,,,
828,,,unset,OLET,=67132086/473,2,2,100mm,114.3,0.000,0,0.000,0,149mm,0.000,,0.000,,175540.303mm,157458.200mm,101241.880mm,=67132086/453,,,0,,0,,,,,,
829,2950,17-VBL-20009,unset,FLAN,=67132086/474,1,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,START,175690.301mm,157458.200mm,101241.130mm,Unset,,,0,,0,,,,,,
830,,,unset,FLAN,=67132086/474,2,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175799.299mm,157458.200mm,101240.585mm,Unset,,,0,,0,,,,,,
831,,,unset,GASK,=67132086/475,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175799.299mm,157458.200mm,101240.585mm,Unset,,,0,,0,,,,,,
832,,,unset,GASK,=67132086/475,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175802.499mm,157458.200mm,101240.569mm,Unset,,,0,,0,,,,,,
833,,,17-VBL-20009,VALV,=67132086/476,1,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,175802.499mm,157458.200mm,101240.569mm,Unset,,,0,,0,,,,,,
834,,,17-VBL-20009,VALV,=67132086/476,2,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,176234.494mm,157458.200mm,101238.409mm,Unset,,,0,,0,,,,,,
835,,,unset,GASK,=67132086/477,1,1,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,176234.494mm,157458.200mm,101238.409mm,Unset,,,0,,0,,,,,,
836,,,unset,GASK,=67132086/477,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,,0.000,,176237.694mm,157458.200mm,101238.393mm,Unset,,,0,,0,,,,,,
837,2960,17-VBL-20009,unset,BRAN,=67132086/459,2,2,100mm,114.3,0.000,0,0.000,0,0mm,0.000,0,0.000,END,176237.694mm,157458.200mm,101238.393mm,=67132086/446,BRAN,0,0,,0,0,-100000,,,,
838,1590,,unset,BRAN,=67132086/328,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,0,0.000,START,189983.003mm,153399.600mm,100927.800mm,=67132086/1720,OLET,0,0,,0,0,-100000,,,,
839,2970,,unset,REDU,=67132086/329,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153399.600mm,101143.700mm,Unset,,,0,,0,,,,,,
840,2980,,unset,REDU,=67132086/329,2,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,START,189983.003mm,153399.600mm,101219.700mm,Unset,,,0,,0,,,,,,
841,,,unset,FLAN,=67132086/330,1,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153399.600mm,101219.700mm,Unset,,,0,,0,,,,,,
842,,,unset,FLAN,=67132086/330,2,1,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153399.600mm,101288.700mm,Unset,,,0,,0,,,,,,
843,,,unset,GASK,=67132086/331,1,1,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153399.600mm,101288.700mm,Unset,,,0,,0,,,,,,
844,,,unset,GASK,=67132086/331,2,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153399.600mm,101291.900mm,Unset,,,0,,0,,,,,,
845,,,unset,VALV,=67132086/332,1,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153399.600mm,101291.900mm,Unset,,,0,,0,,,,,,
846,,,=67132086/332,VALV,=67132086/332,2,1,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153399.600mm,101507.900mm,Unset,,,0,,0,,,,,,
847,,,unset,GASK,=67132086/333,1,1,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153399.600mm,101507.900mm,Unset,,,0,,0,,,,,,
848,,,unset,GASK,=67132086/333,2,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153399.600mm,101511.100mm,Unset,,,0,,0,,,,,,
849,,,unset,FLAN,=67132086/334,1,1,25mm,33.4,0.000,0,0.000,0,49mm,0.000,,0.000,,189983.003mm,153399.600mm,101511.100mm,Unset,,,0,,0,,,,,,
850,2990,=67132086/332,unset,FLAN,=67132086/334,2,2,25mm,33.4,0.000,0,0.000,0,49mm,0.000,,0.000,END,189983.003mm,153399.600mm,101580.100mm,Unset,,,0,,0,,,,,,
851,,,unset,ELBO,=67132086/335,1,1,25mm,33.4,0.000,0,38.000,0,250mm,0.000,,0.000,,189983.003mm,153399.600mm,101630.100mm,Unset,,,0,,0,,,,,,
852,3000,,unset,ELBO,=67132086/335,0,0,25mm,33.4,0.000,0,38.000,0,250mm,0.000,,0.000,,189983.003mm,153399.600mm,101668.100mm,Unset,,,0,,0,,,,,,
853,,,unset,ELBO,=67132086/335,2,2,25mm,33.4,0.000,0,38.000,0,250mm,0.000,,0.000,,189983.003mm,153437.600mm,101668.100mm,Unset,,,0,,0,,,,,,
854,3010,,unset,FLAN,=67132086/336,1,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,START,189983.003mm,153687.600mm,101668.100mm,Unset,,,0,,0,,,,,,
855,,,unset,FLAN,=67132086/336,2,1,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153756.600mm,101668.100mm,Unset,,,0,,0,,,,,,
856,,,unset,GASK,=67132086/337,1,1,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153756.600mm,101668.100mm,Unset,,,0,,0,,,,,,
857,,,unset,GASK,=67132086/337,2,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153759.800mm,101668.100mm,Unset,,,0,,0,,,,,,
858,,,unset,VALV,=67132086/338,1,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153759.800mm,101668.100mm,Unset,,,0,,0,,,,,,
859,,,=67132086/338,VALV,=67132086/338,2,1,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153975.800mm,101668.100mm,Unset,,,0,,0,,,,,,
860,,,unset,GASK,=67132086/339,1,1,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153975.800mm,101668.100mm,Unset,,,0,,0,,,,,,
861,,,unset,GASK,=67132086/339,2,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153979.000mm,101668.100mm,Unset,,,0,,0,,,,,,
862,,,unset,FLAN,=67132086/340,1,1,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,153979.000mm,101668.100mm,Unset,,,0,,0,,,,,,
863,3020,=67132086/338,unset,FLAN,=67132086/340,2,2,25mm,33.4,0.000,0,0.000,0,0mm,0.000,,0.000,END,189983.003mm,154048.000mm,101668.100mm,Unset,,,0,,0,,,,,,
864,,,unset,REDU,=67132086/341,1,2,25mm,33.4,0.000,0,0.000,0,140mm,0.000,,0.000,,189983.003mm,154048.000mm,101668.100mm,Unset,,,0,,0,,,,,,
865,3030,,unset,REDU,=67132086/341,2,1,50mm,60.3,0.000,0,0.000,0,140mm,0.000,,0.000,,189983.003mm,154124.000mm,101681.550mm,Unset,,,0,,0,,,,,,
866,3040,PS-171082.1,PS-171082.1,ATTA,=67132086/342,0,0,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,154265.000mm,101681.550mm,Unset,,,0,,0,,,,,,
867,3050,PS-171082.5,PS-171082.5,ATTA,=67132086/343,0,0,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,154265.000mm,101681.550mm,Unset,,,0,,0,,,,,,
868,3060,PS-171082.3,PS-171082.3,ATTA,=67132086/344,0,0,50mm,60.3,0.000,0,0.000,0,258mm,0.000,,0.000,,189983.003mm,154265.000mm,101681.550mm,Unset,,,0,,0,,,,,,
869,3070,,unset,FLAN,=67132086/345,1,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,START,189983.003mm,154443.200mm,101681.550mm,Unset,,,0,,0,,,,,,
870,,,unset,FLAN,=67132086/345,2,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,154523.200mm,101681.550mm,Unset,,,0,,0,,,,,,
871,,,unset,GASK,=67132086/346,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,154523.200mm,101681.550mm,Unset,,,0,,0,,,,,,
872,,,unset,GASK,=67132086/346,2,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,154526.400mm,101681.550mm,Unset,,,0,,0,,,,,,
873,,,unset,INST,=67132086/347,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,154526.400mm,101681.550mm,Unset,,,0,,0,,,,,,
874,,,unset,INST,=67132086/347,2,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,154532.400mm,101681.550mm,Unset,,,0,,0,,,,,,
875,,,unset,GASK,=67132086/348,1,1,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,154532.400mm,101681.550mm,Unset,,,0,,0,,,,,,
876,,,unset,GASK,=67132086/348,2,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,,0.000,,189983.003mm,154535.600mm,101681.550mm,Unset,,,0,,0,,,,,,
877,3080,,unset,BRAN,=67132086/328,2,2,50mm,60.3,0.000,0,0.000,0,0mm,0.000,0,0.000,END,189983.003mm,154535.600mm,101681.550mm,=67132086/316,BRAN,0,0,,0,0,-100000,,,,
