Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,,,,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
95,490,,unset,ELBO,=67141374/2640,0,0,750mm,762,0.000,0,1143.000,0,0.000,,,1130990.103,1117922.229,103728.478,1142.998,0,1.143,,,,,,
96,,,unset,ELBO,=67141374/2640,2,2,750mm,762,0.000,0,1143.000,0,0.000,,,1129847.105,1117922.229,103727.335,4356.999,0,4.358,,,,,,
97,500,,unset,ANCI,=67133182/8660,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1125490.106,1117922.229,103722.977,11465.033,0.003,11.466,,,,,,
98,510,,unset,ANCI,=67133182/8603,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1114025.073,1117922.226,103711.511,13042.955,0,13.043,,,,,,
99,520,,unset,ANCI,=67133182/8606,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1100982.118,1117922.226,103698.468,7923.958,0,7.925,,,,,,
100,,,unset,ELBO,=67141374/2641,1,1,750mm,762,0.000,0,1143.000,0,0.000,,,1093058.16,1117922.226,103690.543,1142.999,0,1.143,,,,,,
101,530,,unset,ELBO,=67141374/2641,0,0,750mm,762,0.000,0,1143.000,0,0.000,,,1091915.161,1117922.226,103689.4,0,-1143,0,,,,,,
102,,,unset,ELBO,=67141374/2641,2,2,750mm,762,0.000,0,1143.000,0,0.000,,,1091915.161,1119065.226,103689.4,0,-857,0,,,,,,
103,540,,unset,ANCI,=67133182/8609,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1091915.161,1119922.226,103689.4,0,-2492.372,0,,,,,,
104,,,unset,ELBO,=67133182/6334,1,1,750mm,762,0.000,0,1143.000,0,0.000,,,1091915.161,1122414.598,103689.4,0,-1143,0,,,,,,
105,550,,unset,ELBO,=67133182/6334,0,0,750mm,762,0.000,0,1143.000,0,0.000,,,1091915.161,1123557.598,103689.4,1143,0,1.143,,,,,,
106,,,unset,ELBO,=67133182/6334,2,2,750mm,762,0.000,0,1143.000,0,0.000,,,1090772.161,1123557.598,103688.257,8156.996,0,8.158,,,,,,
107,560,,unset,ANCI,=67133182/8612,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1082615.165,1123557.598,103680.099,17499.991,0,17.501,,,,,,
108,570,,unset,ANCI,=67133182/8672,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1065115.174,1123557.598,103662.598,16237.336,0,16.239,,,,,,
109,580,,unset,ANCI,=67133182/8675,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1048877.838,1123557.598,103646.359,14199.649,0,14.2,,,,,,
110,590,,unset,ANCI,=67133182/8678,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1034678.189,1123557.598,103632.159,11342.587,0,11.344,,,,,,
111,600,,unset,ANCI,=67133182/8633,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1023335.602,1123557.598,103620.815,554.827,0,0.555,,,,,,
112,,,unset,ELBO,=67133182/6336,1,2,750mm,762,0.000,0,1143.000,0,0.000,,,1022780.775,1123557.598,103620.26,1142.998,0,1.143,,,,,,
113,610,,unset,ELBO,=67133182/6336,0,0,750mm,762,0.000,0,1143.000,0,0.000,,,1021637.777,1123557.598,103619.117,0,1142.999,1.143,,,,,,
114,,,unset,ELBO,=67133182/6336,2,1,750mm,762,0.000,0,1143.000,0,0.000,,,1021637.777,1122414.599,103617.974,0,9712.67,9.713,,,,,,
115,620,,unset,ANCI,=67133182/8420,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1021637.777,1112701.929,103608.261,0,6857.004,6.858,,,,,,
116,,,unset,ELBO,=67133182/6337,1,2,750mm,762,0.000,0,1143.000,0,0.000,,,1021637.777,1105844.925,103601.403,0,1142.999,1.143,,,,,,
117,630,,unset,ELBO,=67133182/6337,0,0,750mm,762,0.000,0,1143.000,0,0.000,,,1021637.777,1104701.926,103600.26,-1142.998,0,1.143,,,,,,
118,,,unset,ELBO,=67133182/6337,2,1,750mm,762,0.000,0,1143.000,0,0.000,,,1022780.775,1104701.926,103599.117,-810.75,0,0.811,,,,,,
119,640,,unset,ANCI,=67133182/8423,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1023591.525,1104701.926,103598.306,-2703.45,0,2.403,,,,,,
120,,,unset,ELBO,=67133182/6561,1,1,750mm,762,0.000,0,1143.000,0,0.000,,,1026294.975,1104701.926,103595.903,-1142.998,0,1.143,,,,,,
121,650,,unset,ELBO,=67133182/6561,0,0,750mm,762,0.000,0,1143.000,0,0.000,,,1027437.973,1104701.926,103594.76,0,1142.998,1.143,,,,,,
122,,,unset,ELBO,=67133182/6561,2,2,750mm,762,0.000,0,1143.000,0,0.000,,,1027437.973,1103558.928,103593.617,0,3801.298,3.802,,,,,,
123,660,,unset,ANCI,=67133182/8426,0,0,750mm,762,0.000,0,0.000,0,0.000,,,1027437.973,1099757.63,103589.815,0,356.996,0.357,,,,,,
124,110,,unset,BRAN,=67133182/6325,2,2,750mm,762,0.000,0,0.000,0,0.000,0,,1027437.973,1099400.634,103589.458,1027437.973,1099400.634,103589.458,,0,,,,
