Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,Weight,Material,Rigid,East,North,Up,Status,Pressure,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
76,270,PS00166.1,PS00166.1,ANCI,=67130482/2746,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,106484.000mm,-2650.000mm,107327.800mm,,,,,,
77,280,,unset,FLAN,=67130482/1580,1,2,350mm,355.6,0.000,0,0.000,0,0.000,,START,116570.429mm,-2650.000mm,107327.800mm,,,,,,
78,,,unset,FLAN,=67130482/1580,2,1,350mm,355.6,0.000,0,0.000,0,0.000,,,116697.429mm,-2650.000mm,107327.800mm,,,,,,
79,,,unset,GASK,=67130482/1581,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,116697.429mm,-2650.000mm,107327.800mm,,,,,,
80,,,unset,GASK,=67130482/1581,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,116705.229mm,-2650.000mm,107327.800mm,,,,,,
81,,,unset,FLAN,=67130482/1582,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,116705.229mm,-2650.000mm,107327.800mm,,,,,,
82,290,,unset,FLAN,=67130482/1582,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,END,116832.229mm,-2650.000mm,107327.800mm,,,,,,
83,300,PS00167.1,PS00167.1,ANCI,=67130482/2749,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,117184.000mm,-2650.000mm,107327.800mm,,,,,,
84,310,,unset,FLAN,=67130482/1567,1,2,350mm,355.6,0.000,0,0.000,0,0.000,,START,117594.229mm,-2650.000mm,107327.800mm,,,,,,
85,,,unset,FLAN,=67130482/1567,2,1,350mm,355.6,0.000,0,0.000,0,0.000,,,117721.229mm,-2650.000mm,107327.800mm,,,,,,
86,,,unset,GASK,=67130482/1568,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,117721.229mm,-2650.000mm,107327.800mm,,,,,,
87,,,unset,GASK,=67130482/1568,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,117724.229mm,-2650.000mm,107327.800mm,,,,,,
88,,,unset,FLAN,=67130482/1569,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,117724.229mm,-2650.000mm,107327.800mm,,,,,,
89,320,,unset,FLAN,=67130482/1569,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,END,117851.229mm,-2650.000mm,107327.800mm,,,,,,
90,,,unset,ELBO,=67138674/22118,1,1,350mm,355.6,0.000,0,533.000,0,0.000,,,117851.229mm,-2650.000mm,107327.800mm,,,,,,
91,330,,unset,ELBO,=67138674/22118,0,0,350mm,355.6,0.000,0,533.000,0,0.000,,,118384.229mm,-2650.000mm,107327.800mm,,,,,,
92,,,unset,ELBO,=67138674/22118,2,2,350mm,355.6,0.000,0,533.000,0,0.000,,,118384.229mm,-2650.000mm,106794.800mm,,,,,,
93,,,unset,ELBO,=67138674/22106,1,1,350mm,355.6,0.000,0,533.000,0,0.000,,,118384.229mm,-2650.000mm,102500.998mm,,,,,,
94,340,,unset,ELBO,=67138674/22106,0,0,350mm,355.6,0.000,0,533.000,0,0.000,,,118384.229mm,-2650.000mm,101967.998mm,,,,,,
95,,,unset,ELBO,=67138674/22106,2,2,350mm,355.6,0.000,0,533.000,0,0.000,,,118384.229mm,-3183.000mm,101967.998mm,,,,,,
96,350,PS00168.1,PS00168.1,ANCI,=67130482/2752,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,118384.229mm,-4150.000mm,101967.998mm,,,,,,
97,,,unset,TEE,=67138674/22107,1,1,350mm,355.6,0.000,0,0.000,0,0.000,,,118384.229mm,-5880.200mm,101967.998mm,,,,,,
98,,,unset,TEE,=67138674/22107,3,3,300mm,355.6,0.000,0,0.000,0,0.000,,,118114.229mm,-6159.200mm,101967.998mm,,,,,,
99,360,,unset,TEE,=67138674/22107,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,118384.229mm,-6159.200mm,101967.998mm,,,,,,
100,,,unset,TEE,=67138674/22107,2,2,350mm,355.6,0.000,0,0.000,0,0.000,,,118384.229mm,-6438.200mm,101967.998mm,,,,,,
101,370,PS00169.1,PS00169.1,ANCI,=67130482/2755,0,0,350mm,355.6,0.000,0,0.000,0,0.000,,,118384.229mm,-9150.000mm,101967.998mm,,,,,,
102,,,unset,ELBO,=67130482/1192,1,1,350mm,355.6,0.000,0,533.000,0,0.000,,,118384.229mm,-12467.000mm,101967.998mm,,,,,,
103,380,,unset,ELBO,=67130482/1192,0,0,350mm,355.6,0.000,0,533.000,0,0.000,,,118384.229mm,-13000.000mm,101967.998mm,,,,,,
